,year,month,total_arrival_flights,num_arr_delays,num_aircarrier_delay,num_weather_delay,num_nas_delay,num_security_delay,num_lateaircraft_delay,num_cancelled,num_diverted,tot_arr_delay_mins,carrier_delay_mins,weather_delay_mins,nas_delay_mins,security_delay_mins,lateaircraft_delay_mins
0,2003,6,614.0,131.0,19.97,2.28,81.84,0.0,26.91,4.0,0.0,6939.0,1184.0,218.0,3735.0,0.0,1802.0
1,2003,7,642.0,149.0,28.67,4.31,67.11,0.0,48.91,23.0,1.0,9917.0,1669.0,807.0,4308.0,0.0,3133.0
2,2003,8,642.0,189.0,25.48,4.84,122.86,0.0,35.81,8.0,5.0,15055.0,1954.0,889.0,8575.0,0.0,3637.0
3,2003,9,605.0,240.0,15.37,1.34,193.37,0.0,29.92,15.0,0.0,14063.0,732.0,60.0,11027.0,0.0,2244.0
4,2003,10,631.0,103.0,16.98,1.21,65.95,0.0,18.86,8.0,0.0,4527.0,1024.0,27.0,2327.0,0.0,1149.0
5,2003,11,626.0,170.0,21.19,3.18,87.66,0.0,57.97,15.0,0.0,10027.0,1473.0,189.0,4775.0,0.0,3590.0
6,2003,12,604.0,153.0,27.89,0.34,78.65,0.0,46.13,25.0,2.0,7901.0,1202.0,48.0,3687.0,0.0,2964.0
7,2004,1,627.0,129.0,30.52,1.17,46.91,0.0,50.4,17.0,3.0,6836.0,1193.0,44.0,2388.0,0.0,3211.0
8,2004,2,585.0,101.0,19.1,0.95,54.92,0.0,26.04,3.0,1.0,4048.0,540.0,88.0,1899.0,0.0,1521.0
9,2004,3,634.0,155.0,17.72,1.24,100.03,0.0,36.01,17.0,0.0,9784.0,1465.0,48.0,5298.0,0.0,2973.0
10,2004,4,611.0,163.0,19.45,0.3,107.65,0.0,35.61,4.0,1.0,9500.0,1242.0,36.0,5613.0,0.0,2609.0
11,2004,5,636.0,197.0,25.61,5.54,125.45,0.0,40.4,20.0,0.0,13684.0,1295.0,437.0,8095.0,0.0,3857.0
12,2004,6,622.0,130.0,23.04,3.46,67.8,0.0,35.69,14.0,3.0,8380.0,810.0,196.0,5182.0,0.0,2192.0
13,2004,7,633.0,193.0,26.22,3.76,115.56,0.0,47.46,22.0,5.0,14476.0,1136.0,208.0,8519.0,0.0,4613.0
14,2004,8,637.0,134.0,20.2,3.44,80.44,0.0,29.91,22.0,2.0,8612.0,1358.0,295.0,4197.0,0.0,2762.0
15,2004,9,602.0,130.0,12.54,0.0,105.94,1.0,10.52,17.0,2.0,7712.0,632.0,0.0,6358.0,185.0,537.0
16,2004,10,543.0,106.0,17.59,1.22,57.9,0.0,29.29,7.0,0.0,5485.0,946.0,38.0,2690.0,0.0,1811.0
17,2004,11,466.0,100.0,19.0,0.31,52.02,0.0,28.67,6.0,0.0,6491.0,1221.0,62.0,2631.0,0.0,2577.0
18,2004,12,485.0,156.0,31.7,0.0,96.27,0.0,28.04,13.0,1.0,8373.0,1472.0,0.0,4818.0,0.0,2083.0
19,2005,1,474.0,125.0,22.78,3.43,53.49,0.0,45.31,32.0,0.0,8040.0,1219.0,229.0,2494.0,0.0,4098.0
20,2005,2,430.0,128.0,24.88,1.71,74.11,0.0,27.3,3.0,0.0,7749.0,888.0,64.0,4626.0,0.0,2171.0
21,2005,3,478.0,160.0,24.37,0.44,107.37,0.0,27.82,5.0,2.0,10399.0,1155.0,54.0,7219.0,0.0,1971.0
22,2005,4,468.0,119.0,18.53,0.84,86.03,0.0,13.6,12.0,0.0,5917.0,902.0,21.0,4413.0,0.0,581.0
23,2005,5,483.0,115.0,22.36,1.56,51.93,0.0,39.15,14.0,0.0,6846.0,1508.0,95.0,2638.0,0.0,2605.0
24,2005,6,469.0,179.0,40.2,3.8,93.73,0.0,41.26,12.0,6.0,11972.0,2376.0,263.0,6199.0,0.0,3134.0
