,year,month,carrier,carrier_name,airport,airport_name,total_arrival_flights,num_arr_delays,num_aircarrier_delay,num_weather_delay,num_nas_delay,num_security_delay,num_lateaircraft_delay,num_cancelled,num_diverted,tot_arr_delay_mins,carrier_delay_mins,weather_delay_mins,nas_delay_mins,security_delay_mins,lateaircraft_delay_mins
1189,2003,6,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",1831.0,246.0,73.37,5.45,42.07,0.3,124.8,12.0,0.0,9681.0,2798.0,287.0,1173.0,6.0,5417.0
1190,2003,6,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",287.0,42.0,17.19,1.57,5.25,0.0,17.98,1.0,0.0,1832.0,661.0,115.0,228.0,0.0,828.0
1191,2003,6,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",305.0,58.0,6.07,0.3,7.39,0.0,44.25,5.0,1.0,2791.0,232.0,22.0,292.0,0.0,2245.0
1192,2003,6,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",1309.0,202.0,57.96,4.64,44.16,0.0,95.24,25.0,1.0,8705.0,2165.0,329.0,1443.0,0.0,4768.0
1193,2003,6,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",464.0,72.0,16.37,1.71,12.22,0.0,41.69,0.0,1.0,3623.0,682.0,166.0,533.0,0.0,2242.0
1194,2003,6,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",777.0,130.0,37.42,6.87,18.48,0.43,66.81,4.0,0.0,5651.0,1564.0,348.0,731.0,8.0,3000.0
1195,2003,6,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",2466.0,306.0,90.3,18.06,53.42,3.51,140.71,1.0,4.0,13033.0,3745.0,816.0,2062.0,95.0,6315.0
1196,2003,6,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",518.0,57.0,11.51,0.0,3.77,0.32,41.4,0.0,0.0,2540.0,637.0,0.0,121.0,6.0,1776.0
1197,2003,6,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",281.0,47.0,18.75,2.39,5.81,0.0,20.05,0.0,0.0,1876.0,507.0,127.0,315.0,0.0,927.0
1198,2003,6,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1459.0,200.0,42.58,0.0,16.82,2.25,138.35,7.0,0.0,7007.0,1201.0,0.0,414.0,48.0,5344.0
1199,2003,6,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4481.0,481.0,90.02,42.79,81.87,7.8,258.51,3.0,9.0,25404.0,3556.0,4077.0,3856.0,278.0,13637.0
1200,2003,6,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",568.0,96.0,26.95,0.98,29.47,0.73,37.88,0.0,0.0,4269.0,1154.0,73.0,1150.0,29.0,1863.0
1201,2003,6,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",460.0,57.0,10.4,1.62,10.44,1.79,32.74,0.0,0.0,2593.0,420.0,91.0,413.0,96.0,1573.0
1202,2003,6,WN,Southwest Airlines Co.,CRP,"Corpus Christi, TX: Corpus Christi International",163.0,49.0,9.91,4.6,4.74,0.0,29.76,4.0,0.0,2756.0,480.0,351.0,227.0,0.0,1698.0
1203,2003,6,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",3528.0,566.0,90.8,43.81,94.0,0.57,336.81,125.0,16.0,30914.0,3880.0,3771.0,4811.0,10.0,18442.0
1204,2003,6,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",465.0,76.0,20.64,0.65,17.71,0.44,36.55,0.0,4.0,3156.0,661.0,54.0,521.0,8.0,1912.0
1205,2003,6,WN,Southwest Airlines Co.,ELP,"El Paso, TX: El Paso International",1046.0,169.0,36.58,0.22,36.71,0.0,95.49,8.0,2.0,7400.0,1487.0,15.0,1075.0,0.0,4823.0
1206,2003,6,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1061.0,167.0,28.93,14.66,44.93,1.56,76.92,6.0,2.0,8759.0,1269.0,1025.0,1938.0,69.0,4458.0
